imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average,ROI
tt1529235,Welcome to the South,2010,Comedy,4000000,65584679,6.7,1539.6169750000001
tt1529567,Sea Rex 3D: Journey to a Prehistoric World,2010,Documentary,5000000,4074023,7.4,-18.51954
tt1529572,Trust,2010,Crime,9500000,120000,6.6,-98.73684210526315
tt1531663,Everything Must Go,2010,Comedy,5000000,2614773,6.0,-47.70454
tt1532503,Beginners,2010,Comedy,3200000,14311701,6.9,347.24065625
tt1536044,Paranormal Activity 2,2010,Horror,3000000,177512032,5.7,5817.067733333333
tt1542344,127 Hours,2010,Adventure,18000000,35692920,7.0,98.294
tt1542482,Late Autumn,2010,Drama,6200000,4820000,7.3,-22.258064516129032
tt1544600,The Grace Card,2010,Drama,200000,2295733,6.5,1047.8664999999999
tt1555064,Country Strong,2010,Drama,15000000,20601987,6.3,37.34658
tt1562904,To Die Is Hard,2010,Action,1500,4549,10.0,203.26666666666665
tt1564585,Skyline,2010,Action,10000000,66821036,4.8,568.2103599999999
tt1568921,The Secret World of Arrietty,2010,Adventure,23000000,145570827,7.5,532.9166391304348
tt1569465,Nasha Russia. Yaytsa sudby,2010,Comedy,2000000,22212223,4.4,1010.6111500000001
tt1570989,Tiny Furniture,2010,Comedy,65000,416498,5.9,540.7661538461539
tt1572491,The Last Circus,2010,Comedy,7000000,3218666,6.7,-54.01905714285714
tt1578116,Atithi Tum Kab Jaoge?,2010,Comedy,2100000,5400000,6.3,157.14285714285714
tt1578261,Break Ke Baad,2010,Comedy,2600000,427628,5.6,-83.55276923076923
tt1579396,Don't Show Mother,2010,Drama,4000,1000,10.0,-75.0
tt1582637,Varudu,2010,Action,4600000,4100000,3.8,-10.869565217391305
tt1584016,Catfish,2010,Documentary,30000,3045943,6.8,10053.143333333333
tt1584131,The Last Godfather,2010,Comedy,13400000,16700000,4.9,24.62686567164179
tt1587729,71: Into the Fire,2010,Action,10400000,20967660,7.0,101.6121153846154
tt1588337,Of Gods and Men,2010,Drama,4000000,41424067,6.7,935.601675
tt1591095,Insidious,2010,Horror,1500000,97009150,6.9,6367.276666666667
tt1595366,What Men Talk About,2010,Comedy,1950000,12005838,7.8,515.684
tt1599975,The Princess of Montpensier,2010,Action,14734000,6775121,6.4,-54.017096511470065
tt1602476,Badmaa$h Company,2010,Comedy,1900000,5100000,5.7,168.42105263157893
tt1602585,Ye Maaya Chesave,2010,Romance,1700000,2800000,6.3,64.70588235294117
tt1606267,Lafangey Parindey,2010,Action,4500000,5000000,5.9,11.11111111111111
tt1609168,Vinnaithaandi Varuvaayaa,2010,Drama,3000000,12000000,7.6,300.0
tt1611174,The Big Sleaze,2010,Action,5000,1000,9.0,-80.0
tt1612774,Rubber,2010,Comedy,500000,98017,5.9,-80.39659999999999
tt1620464,Glukhar v kino,2010,Comedy,2500000,1477030,4.9,-40.9188
tt1620549,Na igre 2. Novyy uroven,2010,Action,3500000,2294357,5.3,-34.44694285714286
tt1629248,Davidam o davidam,2010,Drama,10000,100000,0.0,900.0
tt1636842,Virsa,2010,Drama,580000,1600000,8.0,175.86206896551724
tt1637691,Khelein Hum Jee Jaan Sey,2010,Action,6500000,710000,4.8,-89.07692307692308
tt1639426,Udaan,2010,Drama,800000,520000,7.2,-35.0
tt1640402,Belukar,2010,Action,552000,78000,4.3,-85.86956521739131
tt1645089,Inside Job,2010,Crime,2000000,7871522,7.8,293.5761
tt1648112,New Kids Turbo,2010,Action,1500000,8786756,6.4,485.7837333333333
tt1649431,Vedam,2010,Action,3000000,9000000,6.8,200.0
tt1655603,Evil Intent,2010,Thriller,2000,10454,10.0,422.70000000000005
tt1655607,Singam,2010,Action,2200000,9700000,6.8,340.90909090909093
tt1664806,Raavanan,2010,Action,5200000,9700000,6.6,86.53846153846155
tt1666186,Vampires Suck,2010,Comedy,20000000,80547866,4.1,302.73933
tt1667838,I Hate Love Stories,2010,Comedy,4400000,12000000,6.1,172.72727272727272
tt1667852,Pokkiri Raja,2010,Action,1260000,4700000,4.8,273.015873015873
tt1668200,Sarah's Key,2010,Drama,10000000,17511906,7.3,75.11906
tt1671474,Mummy & Me,2010,Drama,225000,750000,5.2,233.33333333333334
tt1672091,My Dear Desperado,2010,Comedy,800000,4214668,6.6,426.8335000000001
tt1675197,This Is Sodom,2010,Comedy,2745000,5850000,7.3,113.11475409836065
tt1680306,Best Actor,2010,Comedy,700000,3890000,6.5,455.71428571428567
tt1682381,"Vzroslaya doch, ili Test na...",2010,Comedy,4000000,699703,4.5,-82.507425
tt1695800,Pranchiyettan and the Saint,2010,Comedy,385320,1120000,7.3,190.66749714522996
tt1695994,The Virginity Hit,2010,Comedy,2000000,563706,4.7,-71.8147
tt1706414,The Edge,2010,Adventure,11000000,5132354,6.0,-53.34223636363637
tt1708491,Malarvaadi Arts Club,2010,Comedy,340000,1000000,6.5,194.11764705882354
tt1718881,Pro lyuboff,2010,Drama,2000000,1268793,4.0,-36.56035
tt1719474,Aagathan,2010,Drama,822000,1200000,5.0,45.98540145985402
tt1720047,Market Street,2010,Drama,600000,2000000,6.4,233.33333333333334
tt1735221,RPG Metanoia,2010,Adventure,2300000,660000,7.8,-71.30434782608695
tt1735932,Va: Quarter Cutting,2010,Comedy,300000,1500000,6.0,400.0
tt1740017,Payback,2010,Action,3000000,2400000,3.0,-20.0
tt1740707,Trollhunter,2010,Drama,3500000,4159678,6.6,18.847942857142858
tt1782568,Six Degrees of Celebration,2010,Comedy,5000000,22772019,6.6,355.44038
tt1796657,How Not to Rescue a Princess,2010,Animation,3000000,19010585,5.9,533.6861666666666
tt1810618,Fun chin see oi,2010,Comedy,283096,1029455,6.0,263.6416621923305
tt1813519,My Lai Four,2010,War,2000000,2000000,6.2,0.0
tt1815775,Kalavani,2010,Comedy,330000,1100000,7.0,233.33333333333334
tt1820526,Marykkundoru Kunjaadu,2010,Comedy,520000,2100000,7.2,303.8461538461538
tt1835948,Edge of the Empire,2010,Action,4000000,100000,6.5,-97.5
tt1849814,Salve,2010,Drama,10000,10000,7.0,0.0
tt1911661,Vedozero,2010,Documentary,150000,10000,0.0,-93.33333333333333
tt1918887,Kaaryasthan,2010,Comedy,510000,2700000,5.9,429.4117647058823
tt1921078,Saint Petersburg,2010,Adventure,10000,10000,4.0,0.0
tt2321513,Shikshanachya Aaicha Gho,2010,Comedy,380000,520000,7.3,36.84210526315789
tt2349630,Whatever God Wants,2010,Comedy,10000,20000,0.0,100.0
tt2653882,"Hetalia: Axis Powers - Paint It, White!",2010,Adventure,250000,1950000,7.7,680.0
tt3403142,Booye Gandoom: Inja Tarik Nist,2010,Drama,15000,2000000,0.0,13233.333333333334
tt3502802,Evidence of a Haunting,2010,Drama,25000,54474,3.4,117.896
tt4316192,Milaga,2010,Action,3000000,10000000,5.5,233.33333333333334
