imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt1188113,Peacock,2010,Drama,0,0,6.1
tt1188996,My Name Is Khan,2010,Drama,12000000,42345360,7.8
tt1189006,Toonpur Ka Superrhero,2010,Action,0,0,5.5
tt1189267,Woodshop,2010,Comedy,0,0,5.0
tt1189386,Prisoner of Her Past,2010,Documentary,0,0,10.0
tt1190072,The Hunter,2010,Drama,0,0,6.4
tt1191130,Right Yaaa Wrong,2010,Crime,0,0,3.5
tt1193473,Bad Ass,2010,Action,0,0,5.0
tt1193507,My Own Love Song,2010,Comedy,0,0,6.0
tt1193626,Murder by Proxy: How America Went Postal,2010,Documentary,0,0,7.7
tt1193631,Step Up 3D,2010,Drama,30000000,159291809,6.8
tt1194232,Where Have You Come From?,2010,Comedy,0,0,5.3
tt1194236,Paathshaala,2010,Drama,0,0,3.6
tt1194417,Casino Jack,2010,Biography,12500000,1083683,6.0
tt1194424,Denizen,2010,Action,0,0,2.0
tt1194612,Into Eternity: A Film for the Future,2010,Documentary,900000,0,7.4
tt1196134,Crazy on the Outside,2010,Comedy,0,88335,5.3
tt1196141,Diary of a Wimpy Kid,2010,Comedy,15000000,0,6.0
tt1196204,Cemetery Junction,2010,Comedy,0,0,6.6
tt1196338,Pound of Flesh,2010,Crime,0,0,2.0
tt1196340,Inhale,2010,Drama,10000000,55089,6.1
tt1196672,The Nature of Existence,2010,Documentary,0,0,4.5
tt1196941,Going Blind,2010,Documentary,0,0,7.0
tt1198101,Kites,2010,Action,0,0,5.9
tt1200274,One Too Many Mornings,2010,Comedy,0,0,6.0
tt1202513,Assalto ao Santa Maria,2010,Drama,0,0,5.0
tt1208716,Person of Interest,2010,Crime,0,0,6.1
tt1210029,Autopilot,2010,Drama,200000,0,4.0
tt1210039,Blood Done Sign My Name,2010,Drama,10000000,82739,5.8
tt1210047,Snatched!,2010,Comedy,0,0,1.0
tt1210059,Flying Lessons,2010,Drama,0,0,6.0
tt1212419,Hereafter,2010,Drama,50000000,105197635,6.0
tt1212434,One Wish,2010,Comedy,0,0,6.0
